PID,prompt_length,complexity,data_type,module,LLM_PRE,num_tokens,num_sentences,lexical_diversity,readability,noun_ratio,verb_ratio,adjective_ratio,num_named_entities,contains_table,contains_list,redundancy_score,compression_ratio,contains_numbers,contains_chain_of_thought,contains_output_constraints,is_multi_turn
0,60,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,1,False,False,1,5.454545454545454,False,False,False,False
1,55,Simple,['Tables'],document_extraction,GPT,10,1,1.0,9.2,0.2,0.2,0.0,0,False,False,0,5.5,False,False,False,False
2,95,Simple,['Text'],document_extraction,GPT,17,1,0.9411764705882353,10.3,0.23529411764705882,0.17647058823529413,0.0,0,False,False,1,5.588235294117647,False,False,False,False
3,97,Simple,['Dates & Timestamps'],document_extraction,GPT,19,1,0.8421052631578947,9.5,0.3157894736842105,0.10526315789473684,0.05263157894736842,0,False,False,2,5.105263157894737,False,False,False,False
4,71,Simple,"['Numerical Data', 'Text']",document_extraction,GPT,13,1,1.0,9.9,0.15384615384615385,0.15384615384615385,0.07692307692307693,1,False,False,1,5.461538461538462,False,False,False,False
5,83,Simple,['Numerical Data'],document_extraction,GPT,16,1,0.875,9.1,0.25,0.125,0.0,0,False,False,1,5.1875,False,False,False,False
6,63,Simple,['Text'],document_extraction,GPT,11,1,0.9090909090909091,6.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0,False,False,1,5.7272727272727275,False,False,False,False
7,61,Simple,['Text'],document_extraction,GPT,11,1,0.9090909090909091,8.4,0.2727272727272727,0.18181818181818182,0.0,0,False,False,1,5.545454545454546,False,False,False,False
8,66,Simple,['Graphs & Charts'],document_extraction,GPT,13,1,0.9230769230769231,5.2,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,False,False,1,5.076923076923077,False,False,False,False
9,80,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,0,False,False,1,5.333333333333333,False,False,False,False
10,71,Simple,['Text'],document_extraction,GPT,14,1,0.8571428571428571,7.2,0.2857142857142857,0.14285714285714285,0.0,0,False,False,1,5.071428571428571,False,False,False,False
11,70,Simple,['Dates & Timestamps'],document_extraction,GPT,16,1,0.8125,7.6,0.25,0.125,0.0,1,False,False,1,4.375,False,False,False,False
12,65,Simple,['Equations & Formulas'],document_extraction,GPT,11,1,0.9090909090909091,10.7,0.2727272727272727,0.09090909090909091,0.09090909090909091,0,False,False,1,5.909090909090909,False,False,False,False
13,96,Simple,['Text'],document_extraction,GPT,17,1,0.8823529411764706,8.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0,False,False,1,5.647058823529412,False,False,False,False
14,81,Simple,['Text'],document_extraction,GPT,13,1,0.9230769230769231,10.3,0.23076923076923078,0.23076923076923078,0.07692307692307693,0,False,False,1,6.230769230769231,False,False,False,False
15,77,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.3333333333333333,0.06666666666666667,0.0,0,False,False,1,5.133333333333334,False,False,False,False
16,77,Simple,['Dates & Timestamps'],document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False
17,69,Simple,"['Graphs & Charts', 'Numerical Data']",document_extraction,GPT,14,1,0.8571428571428571,6.0,0.35714285714285715,0.07142857142857142,0.0,0,False,False,1,4.928571428571429,False,False,False,False
18,66,Simple,['Text'],document_extraction,GPT,12,1,0.9166666666666666,6.4,0.4166666666666667,0.08333333333333333,0.0,0,False,False,1,5.5,False,False,False,False
19,73,Simple,['Numerical Data'],document_extraction,GPT,14,1,0.8571428571428571,8.4,0.21428571428571427,0.14285714285714285,0.07142857142857142,0,False,False,1,5.214285714285714,False,False,False,False
20,56,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,10,1,0.9,8.0,0.4,0.1,0.0,0,False,False,1,5.6,False,False,False,False
21,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
22,53,Simple,['Equations & Formulas'],document_extraction,GPT,10,1,0.9,6.8,0.2,0.2,0.0,0,False,False,1,5.3,False,False,False,False
23,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
24,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
25,75,Simple,['Numerical Data'],document_extraction,GPT,13,1,1.0,10.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.769230769230769,False,False,False,False
26,73,Simple,['Text'],document_extraction,GPT,13,1,0.9230769230769231,9.2,0.3076923076923077,0.15384615384615385,0.0,0,False,False,1,5.615384615384615,False,False,False,False
27,93,Simple,['Text'],document_extraction,GPT,16,1,0.875,8.0,0.25,0.125,0.0625,0,False,False,1,5.8125,False,False,False,False
28,82,Simple,['Text'],document_extraction,GPT,14,1,0.8571428571428571,7.2,0.21428571428571427,0.21428571428571427,0.0,0,False,False,1,5.857142857142857,False,False,False,False
29,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
30,75,Simple,['Numerical Data'],document_extraction,GPT,13,1,1.0,10.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.769230769230769,False,False,False,False
31,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,14,1,0.9285714285714286,10.7,0.35714285714285715,0.14285714285714285,0.0,0,False,False,1,5.928571428571429,False,False,False,False
32,77,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.3333333333333333,0.06666666666666667,0.0,0,False,False,1,5.133333333333334,False,False,False,False
33,77,Simple,['Dates & Timestamps'],document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False
34,69,Simple,"['Graphs & Charts', 'Numerical Data']",document_extraction,GPT,14,1,0.8571428571428571,6.0,0.35714285714285715,0.07142857142857142,0.0,0,False,False,1,4.928571428571429,False,False,False,False
35,83,Simple,['Text'],document_extraction,GPT,15,1,0.8666666666666667,8.8,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
36,73,Simple,['Numerical Data'],document_extraction,GPT,14,1,0.8571428571428571,8.4,0.21428571428571427,0.14285714285714285,0.07142857142857142,0,False,False,1,5.214285714285714,False,False,False,False
37,81,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,14,1,0.9285714285714286,9.5,0.35714285714285715,0.14285714285714285,0.0,0,False,False,1,5.785714285714286,False,False,False,False
38,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
39,53,Simple,['Equations & Formulas'],document_extraction,GPT,10,1,0.9,6.8,0.2,0.2,0.0,0,False,False,1,5.3,False,False,False,False
40,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
41,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
42,75,Simple,['Numerical Data'],document_extraction,GPT,13,1,1.0,10.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.769230769230769,False,False,False,False
43,73,Simple,['Text'],document_extraction,GPT,13,1,0.9230769230769231,9.2,0.3076923076923077,0.15384615384615385,0.0,0,False,False,1,5.615384615384615,False,False,False,False
44,93,Simple,['Text'],document_extraction,GPT,16,1,0.875,8.0,0.25,0.125,0.0625,0,False,False,1,5.8125,False,False,False,False
45,82,Simple,['Text'],document_extraction,GPT,14,1,0.8571428571428571,7.2,0.21428571428571427,0.21428571428571427,0.0,0,False,False,1,5.857142857142857,False,False,False,False
46,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
47,75,Simple,['Numerical Data'],document_extraction,GPT,13,1,1.0,10.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.769230769230769,False,False,False,False
48,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,14,1,0.9285714285714286,10.7,0.35714285714285715,0.14285714285714285,0.0,0,False,False,1,5.928571428571429,False,False,False,False
49,77,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.8666666666666667,6.4,0.3333333333333333,0.06666666666666667,0.0,0,False,False,1,5.133333333333334,False,False,False,False
50,77,Simple,['Dates & Timestamps'],document_extraction,GPT,15,1,0.8666666666666667,6.4,0.26666666666666666,0.13333333333333333,0.0,1,False,False,1,5.133333333333334,False,False,False,False
51,70,Simple,"['Graphs & Charts', 'Numerical Data']",document_extraction,GPT,14,1,0.8571428571428571,6.0,0.35714285714285715,0.07142857142857142,0.0,0,False,False,1,5.0,False,False,False,False
52,83,Simple,['Text'],document_extraction,GPT,15,1,0.8666666666666667,8.8,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
53,73,Simple,['Numerical Data'],document_extraction,GPT,14,1,0.8571428571428571,8.4,0.21428571428571427,0.14285714285714285,0.07142857142857142,0,False,False,1,5.214285714285714,False,False,False,False
54,81,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,14,1,0.9285714285714286,9.5,0.35714285714285715,0.14285714285714285,0.0,0,False,False,1,5.785714285714286,False,False,False,False
55,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
56,53,Simple,['Equations & Formulas'],document_extraction,GPT,10,1,0.9,6.8,0.2,0.2,0.0,0,False,False,1,5.3,False,False,False,False
57,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
58,63,Simple,['Text'],document_extraction,GPT,12,1,0.8333333333333334,6.4,0.25,0.16666666666666666,0.0,0,False,False,1,5.25,False,False,False,False
59,75,Simple,['Numerical Data'],document_extraction,GPT,13,1,1.0,10.3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,False,False,1,5.769230769230769,False,False,False,False
60,73,Simple,['Text'],document_extraction,GPT,13,1,0.9230769230769231,9.2,0.3076923076923077,0.15384615384615385,0.0,0,False,False,1,5.615384615384615,False,False,False,False
61,93,Simple,['Text'],document_extraction,GPT,16,1,0.875,8.0,0.25,0.125,0.0625,0,False,False,1,5.8125,False,False,False,False
62,82,Simple,['Text'],document_extraction,GPT,14,1,0.8571428571428571,7.2,0.21428571428571427,0.21428571428571427,0.0,0,False,False,1,5.857142857142857,False,False,False,False
63,83,Simple,"['Text', 'Numerical Data']",document_extraction,GPT,15,1,0.9333333333333333,10.7,0.3333333333333333,0.13333333333333333,0.0,0,False,False,1,5.533333333333333,False,False,False,False
64,115,Simple,Numerical Data,quantitative_analysis,Claude,21,1,0.9047619047619048,11.9,0.2857142857142857,0.09523809523809523,0.09523809523809523,2,False,True,1,5.476190476190476,True,False,False,False
65,81,Medium,Numerical Data,quantitative_analysis,Claude,15,1,1.0,11.5,0.26666666666666666,0.2,0.06666666666666667,1,False,False,1,5.4,False,False,False,False
66,116,Simple,Numerical Data,quantitative_analysis,Claude,27,1,0.8148148148148148,10.3,0.25925925925925924,0.07407407407407407,0.0,3,False,False,1,4.296296296296297,True,False,False,False
67,116,Medium,Numerical Data,quantitative_analysis,Claude,25,1,0.96,11.1,0.32,0.08,0.04,2,False,False,1,4.64,True,False,False,False
68,89,Complex,Numerical Data,quantitative_analysis,Claude,17,1,0.9411764705882353,12.3,0.23529411764705882,0.11764705882352941,0.11764705882352941,1,False,False,2,5.235294117647059,False,False,False,False
69,102,Simple,Numerical Data,quantitative_analysis,Claude,22,1,0.9090909090909091,9.5,0.3181818181818182,0.045454545454545456,0.045454545454545456,4,False,False,1,4.636363636363637,True,False,False,False
70,81,Medium,Numerical Data,quantitative_analysis,Claude,14,1,1.0,10.7,0.42857142857142855,0.07142857142857142,0.07142857142857142,1,False,False,1,5.785714285714286,False,False,False,False
71,112,Simple,Numerical Data,quantitative_analysis,Claude,25,1,0.92,11.1,0.32,0.04,0.04,4,False,False,1,4.48,True,False,False,False
72,66,Medium,Numerical Data,quantitative_analysis,Claude,14,1,1.0,8.8,0.21428571428571427,0.07142857142857142,0.07142857142857142,0,False,False,1,4.714285714285714,False,False,False,False
73,122,Simple,Numerical Data,quantitative_analysis,Claude,24,1,0.875,11.9,0.3333333333333333,0.041666666666666664,0.08333333333333333,3,False,False,1,5.083333333333333,True,False,False,False
74,82,Medium,Numerical Data,quantitative_analysis,Claude,15,1,0.9333333333333333,8.8,0.4,0.13333333333333333,0.06666666666666667,0,False,False,1,5.466666666666667,False,False,False,False
75,123,Complex,Numerical Data,quantitative_analysis,Claude,22,1,0.9090909090909091,11.5,0.22727272727272727,0.18181818181818182,0.09090909090909091,0,False,False,2,5.590909090909091,False,False,False,False
76,91,Simple,Numerical Data,quantitative_analysis,Claude,21,1,0.9047619047619048,6.8,0.2857142857142857,0.047619047619047616,0.047619047619047616,3,False,False,1,4.333333333333333,True,False,False,False
77,90,Complex,Numerical Data,quantitative_analysis,Claude,15,1,1.0,11.1,0.3333333333333333,0.2,0.0,1,False,False,1,6.0,False,False,False,False
78,97,Medium,Numerical Data,quantitative_analysis,Claude,15,1,1.0,14.7,0.3333333333333333,0.13333333333333333,0.06666666666666667,1,False,False,1,6.466666666666667,False,False,False,False
79,87,Complex,Numerical Data,quantitative_analysis,Claude,13,1,0.9230769230769231,19.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,1,False,False,1,6.6923076923076925,False,False,False,False
80,90,Complex,Numerical Data,quantitative_analysis,Claude,17,1,0.9411764705882353,10.7,0.35294117647058826,0.17647058823529413,0.0,0,False,False,1,5.294117647058823,False,False,False,False
81,87,Medium,Numerical Data,quantitative_analysis,Claude,14,1,0.9285714285714286,13.1,0.35714285714285715,0.14285714285714285,0.14285714285714285,0,False,False,1,6.214285714285714,False,False,False,False
82,85,Simple,Numerical Data,quantitative_analysis,Claude,16,1,1.0,15.8,0.3125,0.125,0.0625,0,False,False,1,5.3125,False,False,False,False
83,87,Medium,Numerical Data,quantitative_analysis,Claude,18,1,0.8888888888888888,10.3,0.1111111111111111,0.16666666666666666,0.0,1,False,False,1,4.833333333333333,False,False,False,False
84,103,Medium,Numerical Data,quantitative_analysis,Claude,17,1,0.8235294117647058,17.0,0.17647058823529413,0.11764705882352941,0.0,0,False,False,1,6.0588235294117645,False,False,False,False
85,88,Simple,Numerical Data,quantitative_analysis,Claude,18,1,0.9444444444444444,9.1,0.3333333333333333,0.16666666666666666,0.0,0,False,False,1,4.888888888888889,False,False,False,False
86,91,Complex,Numerical Data,quantitative_analysis,Claude,16,1,0.9375,12.7,0.25,0.125,0.0625,1,False,False,2,5.6875,False,False,False,False
87,76,Simple,Numerical Data,quantitative_analysis,Claude,14,1,0.8571428571428571,9.5,0.2857142857142857,0.07142857142857142,0.14285714285714285,1,False,False,1,5.428571428571429,False,False,False,False
88,77,Medium,Numerical Data,quantitative_analysis,Claude,13,1,1.0,11.5,0.3076923076923077,0.15384615384615385,0.07692307692307693,0,False,False,1,5.923076923076923,False,False,False,False
89,104,Medium,Numerical Data,quantitative_analysis,Claude,17,1,1.0,13.1,0.4117647058823529,0.058823529411764705,0.11764705882352941,1,False,False,1,6.117647058823529,False,False,False,False
90,96,Complex,Numerical Data,quantitative_analysis,Claude,15,1,1.0,14.7,0.3333333333333333,0.2,0.06666666666666667,0,False,False,1,6.4,False,False,False,False
91,79,Simple,Numerical Data,quantitative_analysis,Claude,15,1,0.9333333333333333,11.1,0.3333333333333333,0.13333333333333333,0.06666666666666667,2,False,False,1,5.266666666666667,False,False,False,False
92,84,Medium,Numerical Data,quantitative_analysis,Claude,17,1,0.8235294117647058,8.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,2,False,False,1,4.9411764705882355,False,False,False,False
93,88,Complex,Numerical Data,quantitative_analysis,Claude,19,1,0.9473684210526315,10.3,0.42105263157894735,0.05263157894736842,0.0,1,False,False,1,4.631578947368421,True,False,False,False
94,97,Simple,Numerical Data,quantitative_analysis,Claude,17,1,1.0,12.3,0.17647058823529413,0.11764705882352941,0.058823529411764705,0,False,False,1,5.705882352941177,False,False,False,False
95,98,Complex,Numerical Data,quantitative_analysis,Claude,15,1,1.0,12.3,0.3333333333333333,0.13333333333333333,0.06666666666666667,1,False,False,1,6.533333333333333,False,False,False,False
96,76,Simple,Numerical Data,quantitative_analysis,Claude,14,1,1.0,8.4,0.35714285714285715,0.14285714285714285,0.07142857142857142,0,False,False,1,5.428571428571429,False,False,False,False
97,99,Simple,Numerical Data,quantitative_analysis,Claude,19,1,0.9473684210526315,11.9,0.15789473684210525,0.10526315789473684,0.10526315789473684,1,False,False,1,5.2105263157894735,False,False,False,False
98,81,Medium,Numerical Data,quantitative_analysis,Claude,17,1,0.9411764705882353,8.8,0.11764705882352941,0.11764705882352941,0.058823529411764705,1,False,False,1,4.764705882352941,False,False,False,False
99,72,Simple,Numerical Data,quantitative_analysis,Claude,11,1,1.0,14.3,0.36363636363636365,0.09090909090909091,0.09090909090909091,0,False,False,1,6.545454545454546,False,False,False,False
100,96,Medium,Numerical Data,quantitative_analysis,Claude,16,1,0.9375,12.7,0.25,0.125,0.0,1,False,False,1,6.0,False,False,False,False
101,92,Simple,Numerical Data,quantitative_analysis,Claude,16,1,1.0,15.4,0.25,0.1875,0.0,0,False,False,0,5.75,False,False,False,False
102,80,Simple,Numerical Data,quantitative_analysis,Claude,14,1,0.9285714285714286,11.9,0.35714285714285715,0.07142857142857142,0.07142857142857142,0,False,False,1,5.714285714285714,False,False,False,False
103,71,Complex,Numerical Data,quantitative_analysis,Claude,12,1,1.0,13.5,0.3333333333333333,0.16666666666666666,0.08333333333333333,1,False,False,1,5.916666666666667,False,False,False,False
104,101,Medium,Numerical Data,quantitative_analysis,Claude,19,1,0.8947368421052632,11.1,0.3157894736842105,0.10526315789473684,0.0,1,False,False,2,5.315789473684211,False,False,False,False
105,98,Medium,Numerical Data,quantitative_analysis,Claude,16,1,1.0,13.9,0.3125,0.125,0.125,0,False,False,1,6.125,False,False,False,False
106,76,Simple,Numerical Data,quantitative_analysis,Claude,15,1,1.0,10.3,0.2,0.2,0.0,0,False,False,1,5.066666666666666,False,False,False,False
107,80,Simple,Numerical Data,quantitative_analysis,Claude,15,1,0.9333333333333333,11.1,0.3333333333333333,0.13333333333333333,0.06666666666666667,2,False,False,1,5.333333333333333,False,False,False,False
108,84,Medium,Numerical Data,quantitative_analysis,Claude,16,1,0.9375,10.7,0.25,0.1875,0.0,0,False,False,1,5.25,False,False,False,False
109,91,Simple,Numerical Data,quantitative_analysis,Claude,17,1,0.8823529411764706,9.1,0.23529411764705882,0.11764705882352941,0.058823529411764705,2,False,False,1,5.352941176470588,False,False,False,False
110,72,Complex,Numerical Data,quantitative_analysis,Claude,18,1,0.8888888888888888,6.4,0.3888888888888889,0.05555555555555555,0.0,1,False,False,1,4.0,True,False,False,False
111,97,Simple,Numerical Data,quantitative_analysis,Claude,17,1,1.0,12.3,0.17647058823529413,0.11764705882352941,0.058823529411764705,0,False,False,1,5.705882352941177,False,False,False,False
112,98,Complex,Numerical Data,quantitative_analysis,Claude,15,1,1.0,12.3,0.3333333333333333,0.13333333333333333,0.06666666666666667,1,False,False,1,6.533333333333333,False,False,False,False
113,67,Simple,"['Text', 'Numerical Data', 'Graphs & Charts']",report_generation,Mistral,12,1,1.0,7.6,0.3333333333333333,0.08333333333333333,0.08333333333333333,2,False,True,1,5.583333333333333,True,False,False,False
114,59,Simple,"['Text', 'Graphs & Charts']",report_generation,Mistral,10,1,1.0,9.2,0.4,0.1,0.1,1,False,False,1,5.9,False,False,False,False
115,53,Simple,"['Numerical Data', 'Tables']",report_generation,Mistral,9,1,1.0,12.3,0.1111111111111111,0.1111111111111111,0.2222222222222222,2,False,True,1,5.888888888888889,True,False,False,False
116,53,Simple,"['Text', 'Tables']",report_generation,Mistral,10,1,1.0,10.3,0.3,0.1,0.1,1,False,False,1,5.3,False,False,False,False
