task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Code Generation,949,1022,Legal,0,0,0,1,1,1,3,0.244,0.987,0.765,0.622,0.941,1042,445,4096,39.3,0.0178,0,Azure,0,0,None,0.797,Mistral
Summarization,867,1358,Medical,1,1,1,1,0,3,2,0.17,0.672,0.849,0.517,0.553,1339,78,8192,14.6,0.00605,1,Azure,1,1,HIPAA,0.872,Mistral
Summarization,392,552,Technical,1,1,0,1,0,5,2,0.241,0.724,0.839,0.105,0.523,1360,409,4096,10.2,0.01359,1,AWS,1,1,GDPR,0.146,Mistral
Classification,375,32,Technical,0,0,1,1,0,5,1,0.026,0.779,0.551,0.844,0.535,944,443,8192,32.9,0.01713,1,AWS,0,0,HIPAA,0.83,Claude
Summarization,523,1126,Medical,0,1,1,1,1,2,1,0.273,0.882,0.824,0.974,0.738,1364,655,16384,14.2,0.01693,1,Azure,1,1,HIPAA,0.608,GPT
Code Generation,451,564,General,1,1,0,1,1,5,2,0.284,0.72,0.755,0.14,0.545,1022,491,8192,25.4,0.00946,0,AWS,1,0,GDPR,0.504,GPT
Code Generation,874,1773,Technical,0,0,1,1,0,5,5,0.265,0.851,0.552,0.604,0.505,782,109,8192,4.0,0.01082,1,OpenAI,0,1,HIPAA,0.354,GPT
Text Generation,211,624,Legal,1,0,0,1,1,5,2,0.292,0.796,0.361,0.77,0.964,771,418,16384,13.4,0.01627,1,OpenAI,0,0,HIPAA,0.237,Claude
QA,927,945,General,1,0,1,0,0,2,5,0.119,0.969,0.208,0.891,0.99,1430,703,8192,22.4,0.00847,0,GCP,1,0,None,0.887,Claude
Text Generation,572,607,Finance,0,1,1,1,0,1,1,0.042,0.606,0.361,0.495,0.873,866,129,8192,10.2,0.01546,1,Azure,0,1,HIPAA,0.599,GPT
Classification,405,572,Legal,1,1,1,0,1,2,2,0.056,0.912,0.541,0.583,0.786,712,464,4096,28.8,0.017,1,OpenAI,0,1,HIPAA,0.692,GPT
Text Generation,862,1542,Finance,1,0,0,1,0,1,3,0.18,0.949,0.625,0.697,0.992,125,536,4096,29.6,0.01516,0,AWS,0,1,GDPR,0.254,Claude
Code Generation,276,142,Medical,0,0,0,1,1,1,1,0.14,0.671,0.545,0.472,0.594,603,154,8192,8.1,0.00957,0,OpenAI,1,1,HIPAA,0.777,GPT
Summarization,528,807,Legal,0,0,0,1,0,1,1,0.094,0.858,0.325,0.413,0.564,510,827,8192,34.6,0.01534,0,AWS,1,1,HIPAA,0.831,GPT
Summarization,557,618,Legal,1,1,1,1,0,3,1,0.116,0.93,0.606,0.845,0.534,844,507,4096,8.4,0.00642,0,OpenAI,1,1,None,0.826,GPT
Code Generation,192,1867,General,1,0,1,1,0,3,5,0.072,0.909,0.987,0.243,0.634,1069,577,16384,11.4,0.01064,1,Azure,0,0,None,0.484,Mistral
Classification,495,524,Medical,0,1,1,1,1,5,4,0.032,0.729,0.788,0.397,0.977,334,789,16384,7.8,0.0178,1,OpenAI,0,1,None,0.583,Mistral
QA,84,1252,General,1,0,1,0,1,1,3,0.076,0.831,0.503,0.894,0.608,724,645,4096,31.7,0.0148,1,GCP,1,1,HIPAA,0.846,Claude
Classification,918,1285,Technical,0,0,1,1,0,1,5,0.042,0.925,0.219,0.634,0.75,682,863,4096,11.1,0.00256,0,OpenAI,0,1,None,0.44,GPT
QA,874,680,Finance,0,0,0,0,0,5,4,0.13,0.73,0.334,0.743,0.778,1414,499,4096,27.1,0.01015,0,Azure,1,0,None,0.587,GPT
QA,885,925,Technical,0,1,1,0,1,5,4,0.104,0.677,0.91,0.579,0.515,682,217,4096,32.9,0.00946,1,Azure,0,0,None,0.67,GPT
Classification,477,1089,General,1,1,1,1,0,5,3,0.114,0.829,0.702,0.298,0.77,134,137,8192,37.3,0.01138,1,Azure,0,1,None,0.897,Claude
Classification,422,1622,Finance,1,1,1,0,1,3,1,0.151,0.972,0.912,0.366,0.736,412,181,16384,26.5,0.01572,0,Azure,1,0,None,0.453,GPT
Text Generation,344,974,Medical,1,0,0,0,1,1,1,0.041,0.796,0.882,0.468,0.794,1375,884,16384,36.2,0.01065,0,AWS,1,0,None,0.879,Claude
Summarization,453,90,Technical,0,1,0,0,1,4,1,0.258,0.812,0.375,0.472,0.851,1382,368,8192,35.6,0.01035,0,Azure,1,1,HIPAA,0.85,Claude
Text Generation,664,1902,Technical,0,0,0,0,1,1,3,0.133,0.645,0.604,0.645,0.558,1140,727,8192,20.7,0.00947,1,OpenAI,1,1,None,0.385,GPT
Text Generation,70,1251,Medical,1,1,0,1,0,4,4,0.134,0.948,0.668,0.15,0.894,294,869,8192,5.0,0.01037,0,AWS,1,1,GDPR,0.148,Claude
Code Generation,884,42,Medical,1,1,1,1,0,4,5,0.034,0.766,0.749,0.539,0.766,1431,84,4096,19.3,0.00415,1,Azure,0,1,GDPR,0.677,GPT
Code Generation,485,849,Finance,0,0,1,0,1,5,4,0.049,0.764,0.653,0.569,0.842,1214,714,16384,6.5,0.00844,1,GCP,1,1,HIPAA,0.205,Claude
Summarization,837,944,Legal,0,0,1,1,1,1,1,0.198,0.763,0.647,0.451,0.738,760,515,16384,7.0,0.00219,0,GCP,0,1,GDPR,0.688,Mistral
Code Generation,949,599,Finance,1,1,1,1,0,2,2,0.167,0.781,0.156,0.361,0.848,367,198,8192,19.0,0.01005,0,GCP,1,1,HIPAA,0.532,Claude
Code Generation,672,1613,Finance,0,0,0,1,0,2,5,0.135,0.856,0.769,0.621,0.554,1047,203,4096,7.0,0.01517,0,AWS,1,1,HIPAA,0.545,Claude
Classification,610,741,Legal,1,0,1,1,1,3,1,0.216,0.734,0.871,0.186,0.926,740,711,4096,33.4,0.00493,1,Azure,0,1,None,0.692,GPT
Code Generation,272,326,Finance,1,1,0,1,0,3,5,0.02,0.696,0.725,0.279,0.598,596,938,4096,18.8,0.0164,0,OpenAI,1,0,GDPR,0.556,GPT
Code Generation,799,1448,General,1,1,0,0,0,3,2,0.125,0.883,0.322,0.702,0.908,1116,867,16384,37.5,0.01926,1,GCP,0,0,HIPAA,0.23,GPT
QA,146,304,Technical,0,0,0,1,0,3,3,0.037,0.834,0.31,0.738,0.739,1472,514,8192,20.6,0.01712,0,GCP,1,0,GDPR,0.584,Claude
QA,699,1849,Technical,1,0,1,0,0,2,1,0.085,0.843,0.419,0.548,0.943,1100,312,8192,28.1,0.0135,1,OpenAI,1,0,GDPR,0.494,Mistral
Text Generation,46,1069,Legal,0,0,0,0,0,4,5,0.266,0.989,0.248,0.755,0.667,1107,19,4096,38.8,0.00276,0,OpenAI,0,0,HIPAA,0.273,Mistral
QA,148,1898,Medical,0,0,0,0,0,5,1,0.126,0.607,0.129,0.187,0.904,402,805,4096,35.8,0.00641,0,GCP,0,1,HIPAA,0.562,GPT
Summarization,598,513,Technical,1,1,1,1,1,3,3,0.269,0.688,0.605,0.519,0.757,460,548,4096,34.3,0.00603,1,Azure,0,0,None,0.832,Claude
QA,670,491,Finance,1,1,0,1,1,3,5,0.255,0.972,0.93,0.173,0.885,88,82,16384,18.6,0.00521,0,Azure,1,0,HIPAA,0.855,GPT
Text Generation,148,49,Finance,0,0,0,1,0,1,3,0.165,0.713,0.133,0.384,0.568,1160,461,8192,29.0,0.00299,0,OpenAI,0,0,None,0.879,GPT
Classification,677,42,Medical,0,1,0,0,1,2,1,0.226,0.647,0.699,0.324,0.769,81,828,8192,36.7,0.01341,0,OpenAI,1,0,HIPAA,0.241,GPT
Classification,57,1534,Finance,0,1,1,0,1,3,3,0.113,0.756,0.36,0.683,0.878,649,155,16384,13.4,0.01227,0,Azure,0,1,HIPAA,0.314,Mistral
Code Generation,391,1100,Medical,0,1,0,0,0,4,3,0.252,0.726,0.281,0.126,0.602,360,507,16384,23.6,0.01683,1,GCP,0,0,GDPR,0.404,GPT
Classification,1021,1255,Finance,1,1,0,0,1,4,2,0.082,0.65,0.436,0.839,0.818,440,347,16384,12.8,0.01819,0,OpenAI,1,1,None,0.265,Mistral
QA,409,1203,Legal,0,0,1,0,0,5,2,0.212,0.908,0.561,0.745,0.979,542,598,8192,15.6,0.01219,0,AWS,1,0,None,0.56,Claude
Text Generation,986,1291,Finance,0,0,1,1,0,1,3,0.118,0.96,0.371,0.568,0.922,569,298,8192,13.3,0.01399,0,Azure,1,1,GDPR,0.741,GPT
Classification,729,1548,Legal,0,1,0,0,0,3,4,0.022,0.824,0.181,0.459,0.992,452,612,4096,25.2,0.0163,0,Azure,0,0,GDPR,0.816,Mistral
QA,457,1857,Medical,0,0,0,1,1,4,1,0.226,0.842,0.167,0.857,0.899,389,424,4096,39.6,0.00794,0,Azure,0,1,None,0.952,Mistral
Code Generation,472,1307,General,1,1,0,1,1,3,2,0.278,0.939,0.174,0.551,0.912,1040,482,16384,8.8,0.01007,1,GCP,1,1,None,0.527,GPT
Classification,369,656,Finance,1,1,1,0,1,5,4,0.096,0.878,0.292,0.263,0.625,1224,667,4096,19.1,0.01555,0,Azure,1,0,HIPAA,0.677,Claude
Text Generation,718,653,Medical,1,1,1,1,1,5,2,0.163,0.621,0.256,0.208,0.892,1158,573,4096,12.4,0.01344,0,GCP,0,1,GDPR,0.228,Claude
Code Generation,105,1731,Finance,1,1,0,1,0,2,5,0.035,0.819,0.391,0.28,0.706,206,312,16384,27.9,0.00722,0,AWS,0,1,GDPR,0.749,Mistral
Text Generation,531,686,Medical,1,0,0,0,1,4,1,0.072,0.964,0.92,0.514,0.733,1358,325,8192,25.5,0.01772,0,AWS,0,1,None,0.343,Claude
Code Generation,86,740,Finance,1,0,1,0,0,4,3,0.185,0.958,0.307,0.118,0.543,114,189,4096,10.8,0.01978,1,GCP,1,1,HIPAA,0.146,Claude
Classification,378,1199,Legal,1,0,1,0,1,2,5,0.21,0.709,0.836,0.783,0.786,597,389,4096,25.1,0.00671,0,Azure,0,0,None,0.9,GPT
Classification,44,1367,General,1,1,0,1,0,4,1,0.03,0.683,0.635,0.605,0.897,826,819,4096,4.9,0.01221,1,AWS,1,1,HIPAA,0.658,GPT
QA,909,610,Technical,0,1,1,1,1,3,3,0.187,0.939,0.244,0.634,0.564,256,905,8192,37.9,0.00324,0,GCP,0,1,GDPR,0.652,Claude
Summarization,924,1733,Legal,1,1,0,1,1,3,2,0.273,0.721,0.714,0.279,0.832,1407,727,16384,6.3,0.00378,1,AWS,1,1,GDPR,0.537,Claude
Text Generation,921,877,General,0,0,0,0,0,5,1,0.012,0.661,0.108,0.563,0.793,1128,542,8192,30.5,0.01212,1,OpenAI,1,1,GDPR,0.577,GPT
Classification,384,731,Medical,1,0,1,0,0,2,3,0.145,0.702,0.644,0.731,0.862,1242,30,16384,28.5,0.00966,1,GCP,1,0,GDPR,0.869,GPT
Classification,457,1524,Medical,1,1,0,1,0,3,1,0.065,0.71,0.518,0.248,0.695,1416,827,4096,28.4,0.01295,1,GCP,1,1,GDPR,0.604,Claude
Summarization,448,810,Technical,1,1,1,1,1,5,4,0.176,0.711,0.133,0.96,0.924,636,940,4096,14.2,0.00757,1,GCP,1,0,GDPR,0.676,GPT
QA,860,2023,Technical,1,1,1,0,1,1,3,0.108,0.65,0.421,0.688,0.639,285,948,8192,25.5,0.00747,1,OpenAI,0,1,None,0.864,GPT
Classification,351,901,Technical,1,1,0,1,0,3,2,0.17,0.892,0.11,0.375,0.61,1286,924,16384,10.1,0.0109,1,OpenAI,1,1,HIPAA,0.952,Claude
Text Generation,433,594,Finance,1,0,0,0,0,3,3,0.148,0.693,0.466,0.764,0.994,242,483,16384,4.4,0.0076,1,GCP,1,0,GDPR,0.323,Claude
QA,513,294,Technical,0,1,0,1,0,5,4,0.176,0.717,0.578,0.701,0.84,1017,815,8192,37.6,0.01836,0,AWS,0,1,None,0.937,Claude
Code Generation,546,196,Technical,0,1,1,0,0,3,1,0.222,0.693,0.546,0.139,0.579,1408,69,16384,24.3,0.00772,0,AWS,0,1,HIPAA,0.515,Mistral
Text Generation,937,624,Medical,1,1,0,0,0,3,2,0.204,0.754,0.773,0.735,0.563,301,415,4096,21.1,0.00345,0,OpenAI,0,0,HIPAA,0.419,GPT
Text Generation,886,1734,Finance,0,0,0,1,0,4,5,0.11,0.83,0.229,0.665,0.632,1201,338,4096,27.4,0.01486,0,Azure,1,1,GDPR,0.801,GPT
Text Generation,565,535,Medical,1,0,0,0,1,5,3,0.289,0.797,0.173,0.592,0.757,145,902,16384,22.9,0.00314,1,OpenAI,1,0,GDPR,0.642,Mistral
Text Generation,828,1264,General,1,1,0,1,1,3,2,0.175,0.761,0.708,0.795,0.648,854,471,8192,22.2,0.00881,0,AWS,0,1,GDPR,0.982,Mistral
Summarization,71,1637,Technical,0,0,0,1,1,4,3,0.196,0.664,0.407,0.852,0.671,364,904,16384,11.1,0.01301,1,OpenAI,1,1,None,0.276,Claude
Summarization,908,1251,Technical,0,0,1,1,0,3,5,0.133,0.874,0.705,0.18,0.749,316,389,4096,27.5,0.01633,0,OpenAI,1,1,HIPAA,0.618,Claude
Summarization,242,814,Technical,1,0,0,1,1,1,1,0.099,0.665,0.96,0.452,0.561,964,760,16384,7.3,0.00435,0,OpenAI,1,1,HIPAA,0.603,Mistral
Classification,755,276,General,1,0,0,1,0,1,3,0.017,0.857,0.838,0.779,0.785,273,577,8192,6.8,0.0063,1,GCP,1,0,None,0.225,GPT
Text Generation,55,1159,Finance,1,0,1,1,1,4,5,0.098,0.866,0.49,0.994,0.941,624,956,4096,14.9,0.01001,0,GCP,1,1,GDPR,0.352,GPT
Summarization,608,1513,General,1,1,0,0,0,1,5,0.287,0.845,0.629,0.334,0.872,425,330,8192,18.3,0.00795,1,GCP,0,0,GDPR,0.764,GPT
Text Generation,1022,1687,Legal,1,1,1,1,1,4,1,0.061,0.813,0.825,0.358,0.966,166,300,16384,33.6,0.01992,1,GCP,0,0,GDPR,0.293,Mistral
QA,735,946,Medical,0,1,0,1,0,5,3,0.103,0.615,0.562,0.257,0.512,654,919,8192,31.3,0.00337,0,GCP,0,0,None,0.879,Mistral
Summarization,117,1302,Technical,1,1,0,0,0,5,3,0.26,0.693,0.725,0.966,0.994,1216,734,4096,24.1,0.00873,1,AWS,0,0,None,0.849,Claude
Code Generation,451,1515,Medical,1,1,1,0,0,5,1,0.029,0.893,0.205,0.876,0.738,1290,717,4096,35.5,0.00563,1,GCP,0,1,None,0.399,Claude
Classification,442,319,Finance,0,1,1,0,1,5,4,0.245,0.73,0.119,0.313,0.658,324,443,16384,24.5,0.0135,0,Azure,1,1,None,0.23,Claude
Text Generation,691,1515,Legal,0,1,0,0,1,5,4,0.14,0.999,0.531,0.87,0.636,994,197,16384,25.5,0.00982,0,Azure,0,0,None,0.332,GPT
QA,867,567,Medical,1,0,0,0,1,4,3,0.276,0.907,0.986,0.706,0.926,882,877,16384,21.1,0.01317,0,GCP,0,1,None,0.889,Mistral
Summarization,342,228,Medical,1,1,0,1,0,1,5,0.03,0.667,0.604,0.1,0.532,1279,937,16384,6.8,0.00263,0,AWS,1,0,None,0.68,GPT
QA,322,1503,Technical,1,0,0,0,0,2,5,0.048,0.68,0.567,0.125,0.816,1354,866,4096,39.1,0.00744,1,AWS,1,0,None,0.95,GPT
Code Generation,712,996,Legal,0,0,1,0,0,5,5,0.256,0.703,0.598,0.692,0.983,258,500,4096,38.7,0.00296,1,OpenAI,1,0,GDPR,0.644,Mistral
QA,85,1002,Finance,1,0,0,1,0,4,2,0.19,0.643,0.723,0.458,0.546,900,471,4096,29.4,0.00363,1,OpenAI,0,0,None,0.454,Mistral
Classification,624,2020,Finance,0,1,1,0,1,5,5,0.199,0.87,0.479,0.271,0.792,656,51,8192,34.4,0.0073,0,Azure,0,0,None,0.196,GPT
QA,612,1536,Finance,1,0,0,1,1,1,4,0.051,0.859,0.545,0.185,0.905,1315,981,16384,18.8,0.01251,1,Azure,0,1,None,0.407,GPT
Summarization,720,1713,Technical,1,0,0,1,0,4,1,0.077,0.819,0.455,0.46,0.59,125,999,16384,19.0,0.01976,1,GCP,1,1,GDPR,0.583,Claude
Classification,875,646,Technical,0,0,1,0,1,3,3,0.258,0.655,0.312,0.437,0.789,1407,211,4096,24.7,0.00397,1,GCP,1,1,None,0.999,Claude
Text Generation,328,2046,Finance,1,1,0,1,1,3,3,0.187,0.735,0.963,0.209,0.818,1301,686,4096,37.5,0.0054,1,OpenAI,1,0,HIPAA,0.346,GPT
Summarization,437,1920,General,1,0,1,1,1,3,4,0.07,0.781,0.894,0.265,0.999,546,913,4096,15.0,0.00826,1,GCP,1,1,None,0.2,Mistral
QA,305,250,Legal,0,1,1,0,1,3,3,0.054,0.617,0.905,0.231,0.523,392,482,4096,27.3,0.01231,1,OpenAI,1,0,HIPAA,0.671,Claude
Text Generation,826,798,Finance,0,1,1,1,1,2,4,0.056,0.808,0.977,0.37,0.825,659,854,8192,9.6,0.00773,0,Azure,0,1,HIPAA,0.865,Mistral
Text Generation,950,41,Legal,0,1,1,0,1,3,3,0.173,0.812,0.672,0.303,0.52,880,762,8192,29.9,0.01309,0,GCP,1,1,HIPAA,0.626,GPT
Text Generation,457,569,Medical,1,0,1,1,1,4,2,0.254,0.716,0.755,0.208,0.569,976,152,16384,8.4,0.00961,1,Azure,1,0,HIPAA,0.757,GPT
QA,41,1639,General,1,0,1,1,0,4,2,0.201,0.998,0.893,0.503,0.68,223,426,8192,7.7,0.01145,0,Azure,1,0,HIPAA,0.113,Claude
Classification,125,604,Technical,1,0,1,0,1,3,4,0.296,0.82,0.263,0.366,0.562,716,276,4096,24.5,0.00459,0,GCP,1,1,GDPR,0.215,Mistral
Code Generation,722,794,Medical,1,0,0,1,1,1,2,0.211,0.631,0.828,0.58,0.698,188,797,8192,13.5,0.01159,1,GCP,0,0,HIPAA,0.575,Claude
Classification,992,1205,Finance,0,0,1,0,0,5,3,0.064,0.865,0.34,0.572,0.719,368,68,16384,37.9,0.014,0,Azure,0,0,GDPR,0.296,Claude
QA,182,576,Medical,1,0,1,0,1,3,3,0.249,0.995,0.987,0.726,0.654,1156,681,16384,14.5,0.00535,0,Azure,1,1,GDPR,0.167,Claude
Classification,724,1921,Legal,1,0,1,0,1,2,2,0.223,0.911,0.831,0.605,0.555,567,44,16384,35.5,0.01547,0,GCP,1,1,HIPAA,0.186,Mistral
Text Generation,60,270,Medical,0,1,1,1,1,5,5,0.2,0.971,0.819,0.218,0.615,765,209,8192,10.6,0.01953,0,Azure,0,0,GDPR,0.171,Mistral
Classification,445,1429,Medical,0,1,0,0,0,4,5,0.29,0.935,0.996,0.232,0.927,129,197,8192,37.8,0.00404,0,AWS,1,1,None,0.295,Mistral
Classification,652,750,Medical,0,1,0,1,0,1,4,0.266,0.931,0.44,0.378,0.872,673,109,8192,37.6,0.00945,1,GCP,1,0,HIPAA,0.446,Mistral
Code Generation,372,1954,Legal,1,0,0,1,1,2,3,0.068,0.922,0.48,0.764,0.819,932,791,16384,11.3,0.01907,1,AWS,0,0,HIPAA,0.383,Claude
Text Generation,792,758,Legal,0,0,0,1,1,4,4,0.019,0.626,0.134,0.739,0.682,658,323,4096,38.0,0.01984,1,AWS,0,1,GDPR,0.22,Claude
Code Generation,983,1122,General,1,1,1,0,1,2,1,0.085,0.853,0.761,0.349,0.683,180,219,4096,28.6,0.0028,0,Azure,1,0,None,0.775,Claude
Classification,833,621,Technical,0,1,0,0,1,1,3,0.158,0.797,0.783,0.224,0.617,1112,272,4096,29.4,0.00378,0,AWS,1,1,GDPR,0.436,Mistral
Text Generation,1021,1840,Medical,0,0,1,0,0,2,2,0.025,0.729,0.545,0.911,0.518,997,445,16384,10.9,0.00497,0,OpenAI,1,1,None,0.293,Claude
Code Generation,552,1234,Legal,0,0,1,1,0,5,5,0.161,0.819,0.936,0.336,0.917,1219,107,4096,29.2,0.00849,1,GCP,0,0,HIPAA,0.702,Claude
QA,446,319,Technical,0,1,1,1,1,3,2,0.232,0.871,0.753,0.344,0.67,1096,435,16384,19.5,0.01964,1,AWS,1,1,None,0.742,GPT
Classification,616,1482,Legal,1,1,0,1,0,3,4,0.112,0.824,0.864,0.134,0.574,84,759,4096,38.0,0.00429,1,GCP,0,1,None,0.638,Mistral
Classification,286,1067,Technical,0,1,0,1,0,2,3,0.073,0.826,0.816,0.335,0.775,1483,571,8192,8.8,0.01567,0,GCP,1,0,GDPR,0.797,Claude
Text Generation,396,930,Legal,1,0,1,1,0,3,2,0.268,0.804,0.473,0.852,0.618,730,41,4096,5.1,0.00331,0,AWS,1,0,HIPAA,0.857,Claude
Classification,984,1378,Finance,1,0,1,0,0,3,2,0.063,0.783,0.718,0.911,0.733,1062,178,16384,10.9,0.01613,1,GCP,1,0,None,0.284,GPT
Text Generation,271,136,Technical,0,1,0,0,0,1,3,0.265,0.643,0.415,0.42,0.948,1149,585,16384,36.8,0.00562,1,OpenAI,0,1,HIPAA,0.955,Mistral
Classification,404,1606,Finance,1,0,1,0,0,5,1,0.288,0.786,0.127,0.449,0.583,351,132,4096,15.8,0.00437,0,AWS,1,1,None,0.939,Mistral
Summarization,994,1172,Medical,0,0,1,1,1,5,1,0.243,0.716,0.765,0.933,0.659,146,656,4096,23.0,0.01902,0,OpenAI,1,0,HIPAA,0.573,GPT
QA,553,1783,Legal,1,1,1,1,1,2,1,0.088,0.669,0.749,0.314,0.87,933,681,16384,34.3,0.00719,0,OpenAI,1,0,GDPR,0.914,Mistral
Text Generation,475,113,General,1,0,1,0,0,4,2,0.171,0.948,0.743,0.865,0.565,813,900,8192,4.5,0.01404,0,OpenAI,0,0,HIPAA,0.759,Mistral
QA,286,1293,Finance,0,0,0,0,1,3,2,0.159,0.854,0.871,0.331,0.835,1401,168,8192,39.5,0.0091,0,AWS,1,1,HIPAA,0.795,Mistral
